n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), red
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), green
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), orange
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), black
1, [1], [(-1+0j)], (-1+0j), purple
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), cyan
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), magenta
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), yellow
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), brown
2, [1, 0], [(1+0j), 0], (0.6+1j), blue
2, [1, 0], [(0.80902+0.58779j), 0], (-0.10237800000000008+1.161694j), red
2, [1, 0], [(0.30902+0.95106j), 0], (-0.765648+0.879656j), green
2, [1, 0], [(-0.30902+0.95106j), 0], (-1.136472+0.261616j), orange
2, [1, 0], [(-0.80902+0.58779j), 0], (-1.073202-0.456346j), black
2, [1, 0], [(-1+0j), 0], (-0.6-1j), purple
2, [1, 0], [(-0.80902-0.58779j), 0], (0.10237800000000008-1.161694j), cyan
2, [1, 0], [(-0.30902-0.95106j), 0], (0.765648-0.879656j), magenta
2, [1, 0], [(0.30902-0.95106j), 0], (1.136472-0.261616j), yellow
2, [1, 0], [(0.80902-0.58779j), 0], (1.073202+0.456346j), brown
3, [1, 1], [(1+0j), (0.80902+0.58779j)], (1.40902+1.58779j), blue
3, [1, 1], [(0.80902+0.58779j), (0.30902+0.95106j)], (0.20664199999999994+2.112754j), red
3, [1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j)], (-1.074668+1.830716j), green
3, [1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j)], (-1.9454919999999998+0.8494060000000001j), orange
3, [1, 1], [(-0.80902+0.58779j), (-1+0j)], (-2.073202-0.456346j), black
3, [1, 1], [(-1+0j), (-0.80902-0.58779j)], (-1.40902-1.58779j), purple
3, [1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j)], (-0.20664199999999994-2.112754j), cyan
3, [1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j)], (1.074668-1.830716j), magenta
3, [1, 1], [(0.30902-0.95106j), (0.80902-0.58779j)], (1.9454919999999998-0.8494060000000001j), yellow
3, [1, 1], [(0.80902-0.58779j), (1+0j)], (2.073202+0.456346j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (-0.64+1.2j), blue
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-1.2231208+0.5946383999999999j), red
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-1.3390448000000001-0.23785440000000008j), green
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (-0.9434992-0.9795024000000001j), orange
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (-0.18757519999999994-1.3470095999999998j), black
4, [1, 0, 0], [(-1+0j), 0, 0], (0.64-1.2j), purple
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (1.2231208-0.5946383999999999j), cyan
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (1.3390448000000001+0.23785440000000008j), magenta
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (0.9434992+0.9795024000000001j), yellow
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (0.18757519999999994+1.3470095999999998j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902+0.58779j)], (0.16901999999999995+1.78779j), blue
5, [1, 0, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j)], (-0.9141007999999999+1.5456984j), red
5, [1, 0, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-1.6480648000000002+0.7132056j), green
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-1.7525192-0.39171240000000007j), orange
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-1+0j)], (-1.1875752-1.3470095999999998j), black
5, [1, 0, 1], [(-1+0j), 0, (-0.80902-0.58779j)], (-0.16901999999999995-1.78779j), purple
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j)], (0.9141007999999999-1.5456984j), cyan
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j)], (1.6480648000000002-0.7132056j), magenta
5, [1, 0, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j)], (1.7525192+0.39171240000000007j), yellow
5, [1, 0, 1], [(0.80902-0.58779j), 0, (1+0j)], (1.1875752+1.3470095999999998j), brown
6, [1, 1, 0], [(1+0j), (0.80902+0.58779j), 0], (-0.7423780000000001+2.361694j), blue
6, [1, 1, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0], (-1.9887688+1.4742943999999998j), red
6, [1, 1, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0], (-2.4755168000000003+0.02376159999999994j), green
6, [1, 1, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0], (-2.0167012-1.4358484j), orange
6, [1, 1, 0], [(-0.80902+0.58779j), (-1+0j), 0], (-0.7875751999999999-2.3470096j), black
6, [1, 1, 0], [(-1+0j), (-0.80902-0.58779j), 0], (0.7423780000000001-2.361694j), purple
6, [1, 1, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0], (1.9887688-1.4742943999999998j), cyan
6, [1, 1, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0], (2.4755168000000003-0.02376159999999994j), magenta
6, [1, 1, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0], (2.0167012+1.4358484j), yellow
6, [1, 1, 0], [(0.80902-0.58779j), (1+0j), 0], (0.7875751999999999+2.3470096j), brown
7, [1, 1, 1], [(1+0j), (0.80902+0.58779j), (0.30902+0.95106j)], (-0.4333580000000001+3.312754j), blue
7, [1, 1, 1], [(0.80902+0.58779j), (0.30902+0.95106j), (-0.30902+0.95106j)], (-2.2977887999999997+2.4253544j), red
7, [1, 1, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), (-0.80902+0.58779j)], (-3.2845368+0.6115516j), green
7, [1, 1, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), (-1+0j)], (-3.0167012-1.4358484j), orange
7, [1, 1, 1], [(-0.80902+0.58779j), (-1+0j), (-0.80902-0.58779j)], (-1.5965951999999999-2.9347996j), black
7, [1, 1, 1], [(-1+0j), (-0.80902-0.58779j), (-0.30902-0.95106j)], (0.4333580000000001-3.312754j), purple
7, [1, 1, 1], [(-0.80902-0.58779j), (-0.30902-0.95106j), (0.30902-0.95106j)], (2.2977887999999997-2.4253544j), cyan
7, [1, 1, 1], [(-0.30902-0.95106j), (0.30902-0.95106j), (0.80902-0.58779j)], (3.2845368-0.6115516j), magenta
7, [1, 1, 1], [(0.30902-0.95106j), (0.80902-0.58779j), (1+0j)], (3.0167012+1.4358484j), yellow
7, [1, 1, 1], [(0.80902-0.58779j), (1+0j), (0.80902+0.58779j)], (1.5965951999999999+2.9347996j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], (-1.584+0.07999999999999996j), blue
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-1.3285108799999998-0.8663377600000002j), red
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.56557248-1.4817574400000002j), green
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (0.4134028800000001-1.53120064j), orange
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (1.23446448-0.99578096j), black
8, [1, 0, 0, 0], [(-1+0j), 0, 0, 0], (1.584-0.07999999999999996j), purple
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (1.3285108799999998+0.8663377600000002j), cyan
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.56557248+1.4817574400000002j), magenta
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (-0.4134028800000001+1.53120064j), yellow
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (-1.23446448+0.99578096j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902+0.58779j)], (-0.7749800000000001+0.66779j), blue
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (0.30902+0.95106j)], (-1.0194908799999998+0.08472223999999984j), red
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (-0.30902+0.95106j)], (-0.87459248-0.5306974400000002j), green
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (-0.80902+0.58779j)], (-0.3956171199999999-0.94341064j), orange
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-1+0j)], (0.23446447999999998-0.99578096j), black
9, [1, 0, 0, 1], [(-1+0j), 0, 0, (-0.80902-0.58779j)], (0.7749800000000001-0.66779j), purple
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-0.30902-0.95106j)], (1.0194908799999998-0.08472223999999984j), cyan
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (0.30902-0.95106j)], (0.87459248+0.5306974400000002j), magenta
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (0.80902-0.58779j)], (0.3956171199999999+0.94341064j), yellow
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (1+0j)], (-0.23446447999999998+0.99578096j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902+0.58779j), 0], (-1.6863780000000002+1.2416939999999999j), blue
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (0.30902+0.95106j), 0], (-2.0941588799999997+0.013318239999999815j), red
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), 0], (-1.70204448-1.2201414400000001j), green
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), 0], (-0.65979912-1.98754664j), orange
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-1+0j), 0], (0.63446448-1.99578096j), black
10, [1, 0, 1, 0], [(-1+0j), 0, (-0.80902-0.58779j), 0], (1.6863780000000002-1.2416939999999999j), purple
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), 0], (2.0941588799999997-0.013318239999999815j), cyan
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), 0], (1.70204448+1.2201414400000001j), magenta
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (0.80902-0.58779j), 0], (0.65979912+1.98754664j), yellow
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (1+0j), 0], (-0.63446448+1.99578096j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902+0.58779j), (0.30902+0.95106j)], (-1.377358+2.192754j), blue
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (0.30902+0.95106j), (-0.30902+0.95106j)], (-2.4031788799999996+0.9643782399999998j), red
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (-0.30902+0.95106j), (-0.80902+0.58779j)], (-2.51106448-0.6323514400000001j), green
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (-0.80902+0.58779j), (-1+0j)], (-1.65979912-1.98754664j), orange
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-1+0j), (-0.80902-0.58779j)], (-0.17455551999999996-2.5835709600000003j), black
11, [1, 0, 1, 1], [(-1+0j), 0, (-0.80902-0.58779j), (-0.30902-0.95106j)], (1.377358-2.192754j), purple
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-0.30902-0.95106j), (0.30902-0.95106j)], (2.4031788799999996-0.9643782399999998j), cyan
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (0.30902-0.95106j), (0.80902-0.58779j)], (2.51106448+0.6323514400000001j), magenta
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (0.80902-0.58779j), (1+0j)], (1.65979912+1.98754664j), yellow
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (1+0j), (0.80902+0.58779j)], (0.17455551999999996+2.5835709600000003j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902+0.58779j), 0, 0], (-2.8071208+0.6746383999999999j), blue
12, [1, 1, 0, 0], [(0.80902+0.58779j), (0.30902+0.95106j), 0, 0], (-2.66755568-1.1041921600000002j), red
12, [1, 1, 0, 0], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, 0], (-1.50907168-2.4612598400000003j), green
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, 0], (0.22582768000000014-2.8782102399999996j), orange
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-1+0j), 0, 0], (1.8744644799999999-2.19578096j), black
12, [1, 1, 0, 0], [(-1+0j), (-0.80902-0.58779j), 0, 0], (2.8071208-0.6746383999999999j), purple
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-0.30902-0.95106j), 0, 0], (2.66755568+1.1041921600000002j), cyan
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (0.30902-0.95106j), 0, 0], (1.50907168+2.4612598400000003j), magenta
12, [1, 1, 0, 0], [(0.30902-0.95106j), (0.80902-0.58779j), 0, 0], (-0.22582768000000014+2.8782102399999996j), yellow
12, [1, 1, 0, 0], [(0.80902-0.58779j), (1+0j), 0, 0], (-1.8744644799999999+2.19578096j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902+0.58779j), 0, (0.30902+0.95106j)], (-2.4981008+1.6256983999999999j), blue
13, [1, 1, 0, 1], [(0.80902+0.58779j), (0.30902+0.95106j), 0, (-0.30902+0.95106j)], (-2.97657568-0.15313216000000018j), red
13, [1, 1, 0, 1], [(0.30902+0.95106j), (-0.30902+0.95106j), 0, (-0.80902+0.58779j)], (-2.3180916799999998-1.8734698400000003j), green
13, [1, 1, 0, 1], [(-0.30902+0.95106j), (-0.80902+0.58779j), 0, (-1+0j)], (-0.7741723199999999-2.8782102399999996j), orange
13, [1, 1, 0, 1], [(-0.80902+0.58779j), (-1+0j), 0, (-0.80902-0.58779j)], (1.06544448-2.78357096j), black
