n, binary, revolving, gaussian, color
1, [1], [(1+0j)], (1+0j), blue
1, [1], [(0.80902-0.58779j)], (0.80902-0.58779j), red
1, [1], [(0.30902-0.95106j)], (0.30902-0.95106j), green
1, [1], [(-0.30902-0.95106j)], (-0.30902-0.95106j), orange
1, [1], [(-0.80902-0.58779j)], (-0.80902-0.58779j), black
1, [1], [(-1-0j)], (-1+0j), purple
1, [1], [(-0.80902+0.58779j)], (-0.80902+0.58779j), cyan
1, [1], [(-0.30902+0.95106j)], (-0.30902+0.95106j), magenta
1, [1], [(0.30902+0.95106j)], (0.30902+0.95106j), yellow
1, [1], [(0.80902+0.58779j)], (0.80902+0.58779j), brown
2, [1, 0], [(1+0j), 0], -0.6j, blue
2, [1, 0], [(0.80902-0.58779j), 0], (-0.352674-0.48541199999999995j), red
2, [1, 0], [(0.30902-0.95106j), 0], (-0.570636-0.185412j), green
2, [1, 0], [(-0.30902-0.95106j), 0], (-0.570636+0.185412j), orange
2, [1, 0], [(-0.80902-0.58779j), 0], (-0.352674+0.48541199999999995j), black
2, [1, 0], [(-1-0j), 0], 0.6j, purple
2, [1, 0], [(-0.80902+0.58779j), 0], (0.352674+0.48541199999999995j), cyan
2, [1, 0], [(-0.30902+0.95106j), 0], (0.570636+0.185412j), magenta
2, [1, 0], [(0.30902+0.95106j), 0], (0.570636-0.185412j), yellow
2, [1, 0], [(0.80902+0.58779j), 0], (0.352674-0.48541199999999995j), brown
3, [1, 1], [(1+0j), (0.80902-0.58779j)], (0.80902-1.1877900000000001j), blue
3, [1, 1], [(0.80902-0.58779j), (0.30902-0.95106j)], (-0.04365399999999997-1.436472j), red
3, [1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j)], (-0.879656-1.136472j), green
3, [1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.379656-0.402378j), orange
3, [1, 1], [(-0.80902-0.58779j), (-1-0j)], (-1.352674+0.48541199999999995j), black
3, [1, 1], [(-1-0j), (-0.80902+0.58779j)], (-0.80902+1.1877900000000001j), purple
3, [1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j)], (0.04365399999999997+1.436472j), cyan
3, [1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j)], (0.879656+1.136472j), magenta
3, [1, 1], [(0.30902+0.95106j), (0.80902+0.58779j)], (1.379656+0.402378j), yellow
3, [1, 1], [(0.80902+0.58779j), (1+0j)], (1.352674-0.48541199999999995j), brown
4, [1, 0, 0], [(1+0j), 0, 0], (-0.36+0j), blue
4, [1, 0, 0], [(0.80902-0.58779j), 0, 0], (-0.2912472+0.2116044j), red
4, [1, 0, 0], [(0.30902-0.95106j), 0, 0], (-0.1112472+0.3423816j), green
4, [1, 0, 0], [(-0.30902-0.95106j), 0, 0], (0.1112472+0.3423816j), orange
4, [1, 0, 0], [(-0.80902-0.58779j), 0, 0], (0.2912472+0.2116044j), black
4, [1, 0, 0], [(-1-0j), 0, 0], (0.36+0j), purple
4, [1, 0, 0], [(-0.80902+0.58779j), 0, 0], (0.2912472-0.2116044j), cyan
4, [1, 0, 0], [(-0.30902+0.95106j), 0, 0], (0.1112472-0.3423816j), magenta
4, [1, 0, 0], [(0.30902+0.95106j), 0, 0], (-0.1112472-0.3423816j), yellow
4, [1, 0, 0], [(0.80902+0.58779j), 0, 0], (-0.2912472-0.2116044j), brown
5, [1, 0, 1], [(1+0j), 0, (0.80902-0.58779j)], (0.44902-0.58779j), blue
5, [1, 0, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j)], (0.017772800000000033-0.7394556j), red
5, [1, 0, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-0.4202672-0.6086784000000001j), green
5, [1, 0, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.6977728-0.24540840000000003j), orange
5, [1, 0, 1], [(-0.80902-0.58779j), 0, (-1-0j)], (-0.7087528000000001+0.2116044j), black
5, [1, 0, 1], [(-1-0j), 0, (-0.80902+0.58779j)], (-0.44902+0.58779j), purple
5, [1, 0, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j)], (-0.017772800000000033+0.7394556j), cyan
5, [1, 0, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j)], (0.4202672+0.6086784000000001j), magenta
5, [1, 0, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j)], (0.6977728+0.24540840000000003j), yellow
5, [1, 0, 1], [(0.80902+0.58779j), 0, (1+0j)], (0.7087528000000001-0.2116044j), brown
6, [1, 1, 0], [(1+0j), (0.80902-0.58779j), 0], (-0.712674-0.48541199999999995j), blue
6, [1, 1, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0], (-0.8618832000000001+0.026192400000000005j), red
6, [1, 1, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0], (-0.6818832+0.5277936j), green
6, [1, 1, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0], (-0.2414268+0.8277935999999999j), orange
6, [1, 1, 0], [(-0.80902-0.58779j), (-1-0j), 0], (0.2912472+0.8116044j), black
6, [1, 1, 0], [(-1-0j), (-0.80902+0.58779j), 0], (0.712674+0.48541199999999995j), purple
6, [1, 1, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0], (0.8618832000000001-0.026192400000000005j), cyan
6, [1, 1, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0], (0.6818832-0.5277936j), magenta
6, [1, 1, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0], (0.2414268-0.8277935999999999j), yellow
6, [1, 1, 0], [(0.80902+0.58779j), (1+0j), 0], (-0.2912472-0.8116044j), brown
7, [1, 1, 1], [(1+0j), (0.80902-0.58779j), (0.30902-0.95106j)], (-0.403654-1.436472j), blue
7, [1, 1, 1], [(0.80902-0.58779j), (0.30902-0.95106j), (-0.30902-0.95106j)], (-1.1709032000000001-0.9248676j), red
7, [1, 1, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.4909032-0.05999640000000006j), green
7, [1, 1, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), (-1-0j)], (-1.2414268+0.8277935999999999j), orange
7, [1, 1, 1], [(-0.80902-0.58779j), (-1-0j), (-0.80902+0.58779j)], (-0.5177727999999999+1.3993944j), black
7, [1, 1, 1], [(-1-0j), (-0.80902+0.58779j), (-0.30902+0.95106j)], (0.403654+1.436472j), purple
7, [1, 1, 1], [(-0.80902+0.58779j), (-0.30902+0.95106j), (0.30902+0.95106j)], (1.1709032000000001+0.9248676j), cyan
7, [1, 1, 1], [(-0.30902+0.95106j), (0.30902+0.95106j), (0.80902+0.58779j)], (1.4909032+0.05999640000000006j), magenta
7, [1, 1, 1], [(0.30902+0.95106j), (0.80902+0.58779j), (1+0j)], (1.2414268-0.8277935999999999j), yellow
7, [1, 1, 1], [(0.80902+0.58779j), (1+0j), (0.80902-0.58779j)], (0.5177727999999999-1.3993944j), brown
8, [1, 0, 0, 0], [(1+0j), 0, 0, 0], 0.216j, blue
8, [1, 0, 0, 0], [(0.80902-0.58779j), 0, 0, 0], (0.12696264000000002+0.17474831999999998j), red
8, [1, 0, 0, 0], [(0.30902-0.95106j), 0, 0, 0], (0.20542896+0.06674832j), green
8, [1, 0, 0, 0], [(-0.30902-0.95106j), 0, 0, 0], (0.20542896-0.06674832j), orange
8, [1, 0, 0, 0], [(-0.80902-0.58779j), 0, 0, 0], (0.12696264000000002-0.17474831999999998j), black
8, [1, 0, 0, 0], [(-1-0j), 0, 0, 0], -0.216j, purple
8, [1, 0, 0, 0], [(-0.80902+0.58779j), 0, 0, 0], (-0.12696264000000002-0.17474831999999998j), cyan
8, [1, 0, 0, 0], [(-0.30902+0.95106j), 0, 0, 0], (-0.20542896-0.06674832j), magenta
8, [1, 0, 0, 0], [(0.30902+0.95106j), 0, 0, 0], (-0.20542896+0.06674832j), yellow
8, [1, 0, 0, 0], [(0.80902+0.58779j), 0, 0, 0], (-0.12696264000000002+0.17474831999999998j), brown
9, [1, 0, 0, 1], [(1+0j), 0, 0, (0.80902-0.58779j)], (0.80902-0.37179000000000006j), blue
9, [1, 0, 0, 1], [(0.80902-0.58779j), 0, 0, (0.30902-0.95106j)], (0.43598264000000003-0.7763116800000001j), red
9, [1, 0, 0, 1], [(0.30902-0.95106j), 0, 0, (-0.30902-0.95106j)], (-0.10359104000000002-0.88431168j), green
9, [1, 0, 0, 1], [(-0.30902-0.95106j), 0, 0, (-0.80902-0.58779j)], (-0.60359104-0.65453832j), orange
9, [1, 0, 0, 1], [(-0.80902-0.58779j), 0, 0, (-1-0j)], (-0.87303736-0.17474831999999998j), black
9, [1, 0, 0, 1], [(-1-0j), 0, 0, (-0.80902+0.58779j)], (-0.80902+0.37179000000000006j), purple
9, [1, 0, 0, 1], [(-0.80902+0.58779j), 0, 0, (-0.30902+0.95106j)], (-0.43598264000000003+0.7763116800000001j), cyan
9, [1, 0, 0, 1], [(-0.30902+0.95106j), 0, 0, (0.30902+0.95106j)], (0.10359104000000002+0.88431168j), magenta
9, [1, 0, 0, 1], [(0.30902+0.95106j), 0, 0, (0.80902+0.58779j)], (0.60359104+0.65453832j), yellow
9, [1, 0, 0, 1], [(0.80902+0.58779j), 0, 0, (1+0j)], (0.87303736+0.17474831999999998j), brown
10, [1, 0, 1, 0], [(1+0j), 0, (0.80902-0.58779j), 0], (-0.352674-0.269412j), blue
10, [1, 0, 1, 0], [(0.80902-0.58779j), 0, (0.30902-0.95106j), 0], (-0.44367336-0.010663680000000009j), red
10, [1, 0, 1, 0], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), 0], (-0.36520704000000004+0.25216032j), green
10, [1, 0, 1, 0], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), 0], (-0.14724504+0.41866368j), orange
10, [1, 0, 1, 0], [(-0.80902-0.58779j), 0, (-1-0j), 0], (0.12696264000000002+0.42525168j), black
10, [1, 0, 1, 0], [(-1-0j), 0, (-0.80902+0.58779j), 0], (0.352674+0.269412j), purple
10, [1, 0, 1, 0], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), 0], (0.44367336+0.010663680000000009j), cyan
10, [1, 0, 1, 0], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), 0], (0.36520704000000004-0.25216032j), magenta
10, [1, 0, 1, 0], [(0.30902+0.95106j), 0, (0.80902+0.58779j), 0], (0.14724504-0.41866368j), yellow
10, [1, 0, 1, 0], [(0.80902+0.58779j), 0, (1+0j), 0], (-0.12696264000000002-0.42525168j), brown
11, [1, 0, 1, 1], [(1+0j), 0, (0.80902-0.58779j), (0.30902-0.95106j)], (-0.04365399999999997-1.220472j), blue
11, [1, 0, 1, 1], [(0.80902-0.58779j), 0, (0.30902-0.95106j), (-0.30902-0.95106j)], (-0.7526933600000001-0.96172368j), red
11, [1, 0, 1, 1], [(0.30902-0.95106j), 0, (-0.30902-0.95106j), (-0.80902-0.58779j)], (-1.1742270399999999-0.33562968000000004j), green
11, [1, 0, 1, 1], [(-0.30902-0.95106j), 0, (-0.80902-0.58779j), (-1-0j)], (-1.14724504+0.41866368j), orange
11, [1, 0, 1, 1], [(-0.80902-0.58779j), 0, (-1-0j), (-0.80902+0.58779j)], (-0.68205736+1.0130416800000002j), black
11, [1, 0, 1, 1], [(-1-0j), 0, (-0.80902+0.58779j), (-0.30902+0.95106j)], (0.04365399999999997+1.220472j), purple
11, [1, 0, 1, 1], [(-0.80902+0.58779j), 0, (-0.30902+0.95106j), (0.30902+0.95106j)], (0.7526933600000001+0.96172368j), cyan
11, [1, 0, 1, 1], [(-0.30902+0.95106j), 0, (0.30902+0.95106j), (0.80902+0.58779j)], (1.1742270399999999+0.33562968000000004j), magenta
11, [1, 0, 1, 1], [(0.30902+0.95106j), 0, (0.80902+0.58779j), (1+0j)], (1.14724504-0.41866368j), yellow
11, [1, 0, 1, 1], [(0.80902+0.58779j), 0, (1+0j), (0.80902-0.58779j)], (0.68205736-1.0130416800000002j), brown
12, [1, 1, 0, 0], [(1+0j), (0.80902-0.58779j), 0, 0], (-0.2912472+0.4276044j), blue
12, [1, 1, 0, 0], [(0.80902-0.58779j), (0.30902-0.95106j), 0, 0], (0.01571544000000001+0.51712992j), red
12, [1, 1, 0, 0], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, 0], (0.31667616+0.40912992000000004j), green
12, [1, 1, 0, 0], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, 0], (0.49667616+0.14485608j), orange
12, [1, 1, 0, 0], [(-0.80902-0.58779j), (-1-0j), 0, 0], (0.48696264-0.17474831999999998j), black
12, [1, 1, 0, 0], [(-1-0j), (-0.80902+0.58779j), 0, 0], (0.2912472-0.4276044j), purple
12, [1, 1, 0, 0], [(-0.80902+0.58779j), (-0.30902+0.95106j), 0, 0], (-0.01571544000000001-0.51712992j), cyan
12, [1, 1, 0, 0], [(-0.30902+0.95106j), (0.30902+0.95106j), 0, 0], (-0.31667616-0.40912992000000004j), magenta
12, [1, 1, 0, 0], [(0.30902+0.95106j), (0.80902+0.58779j), 0, 0], (-0.49667616-0.14485608j), yellow
12, [1, 1, 0, 0], [(0.80902+0.58779j), (1+0j), 0, 0], (-0.48696264+0.17474831999999998j), brown
13, [1, 1, 0, 1], [(1+0j), (0.80902-0.58779j), 0, (0.30902-0.95106j)], (0.017772800000000033-0.5234556j), blue
13, [1, 1, 0, 1], [(0.80902-0.58779j), (0.30902-0.95106j), 0, (-0.30902-0.95106j)], (-0.29330456-0.43393008j), red
13, [1, 1, 0, 1], [(0.30902-0.95106j), (-0.30902-0.95106j), 0, (-0.80902-0.58779j)], (-0.49234384-0.17866008j), green
13, [1, 1, 0, 1], [(-0.30902-0.95106j), (-0.80902-0.58779j), 0, (-1-0j)], (-0.50332384+0.14485608j), orange
13, [1, 1, 0, 1], [(-0.80902-0.58779j), (-1-0j), 0, (-0.80902+0.58779j)], (-0.32205735999999996+0.4130416800000001j), black
